書名,作者,價格
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355
權證小哥短線終極戰法：4大策略 ✖ 6種工具 ✖ 68個實戰案例，手把手教你賺,權證小哥,379
原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,260
帶心不帶累的跨世代主管學：打造高績效、能當責的超級團隊， 讓新人心服口服、老鳥對你推心置腹,李河泉,355
阿甘節稅法：全方位理財第三堂課，讓你隱型加薪，退休金翻倍【限量簽名版】,闕又上,395
翻轉你的期貨交易：何毅里長伯突破瓶頸的五個黄金法則,何毅里長伯,394
長期買進：財金教授周冠男的42堂自制力投資課,周冠男,355
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,尼克．馬朱利,316
卡住你的不是懶惰，是情緒：跟著韓國最強心理研究團隊找到自己的拖延分類圖，和你的恐懼與焦慮和解，每一件事都能順利完成！,"李東龜,孫何林,金書瑛,李娜熙,吳玹周",284
張忠謀自傳全集（上下冊）,張忠謀,869
納瓦爾寶典：從白手起家到財務自由， 矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355
經濟評論家父親給兒子的一封信：關於金錢、人生與幸福,山崎元,276
天選．矽島：川普風暴下的科技島,黃欽勇,355
張忠謀自傳：下冊 一九六四 ── 二〇一八,張忠謀,592
識人談判課：直指人心的五大談判風格，讓你精準談出好關係、好工作、好人生！,無糖律師,316
底層邏輯：看清這個世界的底牌,劉潤,316
窮查理的普通常識（紀念典藏版）：巴菲特50年智慧合夥人查理．蒙格的人生哲學,查理．蒙格,395
供應鏈之死與 PI 的崛起：實體 AI 如何革命性的推動下一個時代智慧物流暨供應鏈管理、改變我們賺錢的方式,"詹斯敦 (Shelton Chan)著,謝宇程、葉奕緯 撰文",434
看得見的高效思考：一流工作者教你把思考轉換成圖像，讓每次表達都直擊人心,劉奕酉,379
峰值體驗2：增量／存量雙增長的戰略思維，實現商業效益指數型躍進的關鍵洞察與落地,"汪志謙,朱海蓓",497
原始碼：成為比爾．蓋茲,比爾．蓋茲,553
黃仁勳傳：輝達創辦人如何打造全球最搶手的晶片,史帝芬．維特,395
致富心態：關於財富、貪婪與幸福的20堂理財課（暢銷增訂版）,摩根‧豪瑟,355
故事放大：用故事打動人，讓品牌更迷人，吸睛講師帶你破解「故事金庫」的底層邏輯（作者親簽版）,曾培祐,284
AI投資理財賺錢術 – No Code也能賺大錢,洪錦魁,537
尋找安全的家：結構技師蔡榮根教你選好宅,蔡榮根,355
執行長日記【博客來獨家贈「執行長心法燙金書籤」乙組】：關於事業與人生的33條法則,史蒂文．巴列特,379
世界上最神奇的24堂課：全世界唯一一本，因為揭露「致富秘訣」而被查禁的書！,查爾斯‧哈奈爾,270
富爸爸，窮爸爸【25週年紀念版】,羅勃特．T．清崎,331
別把你的錢留到死：懂得花錢，是最好的投資——理想人生的9大財務思維,比爾‧柏金斯,315
阿甘投資法：不看盤、不選股、不挑買點也能穩穩賺,闕又上,331
【圖解】東大教授的總體經濟學課：了解國家的經濟運作，如何影響企業發展、物價漲跌和你我的投資理財,井堀利宏,316
投資的底層邏輯：高人氣EMBA財富管理課，帶你精準抓對全球趨勢,陳超,513
漫步華爾街（50週年增訂版）：超越股市漲跌的成功投資策略,墨基爾,553
投資最重要的事：一本股神巴菲特讀了兩遍的書,霍華．馬克斯,300
影響力：讓人乖乖聽話的說服術(全新增訂版),羅伯特．席爾迪尼,379
不否定的練習：比讚美、肯定更有效的人際關係法則,林健太郎,276
把時間買回來：讓你一本驚醒、一本初衷的經管奇書,丹．馬特爾,363
創新的兩難【20週年暢銷經典版】：當代最具影響力的商管奠基之作，影響賈伯斯、比爾．蓋茲到貝佐斯一生的創新聖經,克雷頓．克里斯汀生,355
認知破局【限量博客來獨家書衣＋2025破局曆】：解題思路比答案本身重要一萬倍,張琦,331
逆思維：華頓商學院最具影響力的教授，突破人生盲點的全局思考,亞當．格蘭特,331
輝達之道：黃仁勳打造晶片帝國，引領AI 浪潮的祕密,金泰（Tae Kim）,355
復盤寫作術：從經驗萃取到知識產品的全方位實戰指南,朱騏,331
與成功有約：高效能人士的七個習慣（30週年全新增訂版）,"史蒂芬‧柯維,西恩‧柯維",434
一生金錢無虞平衡理財法,周行一,379
我得了不想上班的病：倦怠的5大解藥，從有毒工作中奪回你的人生,艾米莉．巴列斯特羅斯,379
有錢人想的和你不一樣,T. Harv Eker,197
高產出的本事：用8種表達框架X4張圖X15分鐘， 文章、簡報，圖解一次到位，讓輸出成為你的優勢,劉奕酉,252
活用技術分析寶典：飆股上校朱家泓40年實戰精華 從K線、均線到交易高手的養成祕笈 (上、下冊),朱家泓,948
財富喜悅：10週學會跟錢好好相處，踏上財富自由、身心平衡之旅,"肯恩,瑪麗．奧科羅福爾",355
為什麼我們這樣對話，那樣生活？：當個超級溝通者，解鎖與他人連結的祕密語言,查爾斯．杜希格,331
用生活常識就能看懂財務報表,林明樟,252
賽道之外：從3A總裁到冠軍自釀啤酒師的破框人生,陳雨德,331
先降噪，再聚焦：做自己的人生規劃師，建立「消除雜訊、激發潛能」的高效能原則。,洪瀞,316
我，刀槍不入：從街頭魯蛇到海豹突擊隊，掌控心智、力抗萬難的奇蹟,大衛・哥金斯,379
劉潤經典叢書：底層邏輯1+2 【隨書附「劉潤印簽金句筆記本」】,劉潤,647
全方位理財的第一堂課：你一生必學的五大財務規畫,闕又上,347
超級績效：金融怪傑交易之道,Mark Minervini,410
投資金律（新版）：建立必勝投資組合的四大關鍵和十八堂必修課,威廉．伯恩斯坦,410
量價操盤術讓我賺5000萬,楊雲翔,262
一如既往：不變的人性法則與致富心態,摩根．豪瑟,355
隱性潛能：華頓商學院最具影響力教授，突破天賦極限的實證科學【博客來獨家版．附人生領航指南書】,亞當．格蘭特,379
大量買進：專注本業，閒錢All In－大俠武林教小資變富有的實戰練習,大俠武林,316
最高深度學習法：開發大腦潛力，快速提升學習質與量，像愛因斯坦一樣學習，成為超級知識海綿,彼得．霍林斯,315
在蘋果，我們以簡單為主：一流人才如何工作？蘋果、Meta、海力士，二十年矽谷工程師，揭開全球最神祕企業的內部運作機密。,朴志秀,300
問ChatGPT也不會的Python量化交易聖經：從分析到真實交易一本全會,"黃子靜,張峮瑋",695
你沒有學到的資產配置：巴菲特默默在做的事,闕又上,435
小狗錢錢（1+2套書）：全球暢銷500萬冊！德國版《富爸爸，窮爸爸》,博多‧薛弗,525
從邊緣到核心：台灣半導體如何成為世界的心臟,"史欽泰,陳添枝,吳淑敏",395
努力，但不費力：只做最重要的事，其實沒有你想的那麼難,葛瑞格．麥基昂,331
峰值體驗：洞察隱而未知的需求，掌握關鍵時刻影響顧客決策,"汪志謙,朱海蓓",331
溝通力不是天賦，而是技術：田村淳教你大受歡迎的說話祕訣,田村淳,252
一週工作4小時：擺脫朝九晚五的窮忙生活，晉身「新富族」！【全新增訂版】,提摩西．費里斯,276
小資翻身脫貧套組【限量1書＋1筆記本】《5分鐘致富練習》╳《練習致富筆記》：每天一個小覺察，預約財務自由的未來！,江季芸,395
原則：生活和工作,瑞．達利歐,474
做自己的生命設計師：史丹佛最夯的生涯規畫課，用「設計思考」重擬問題，打造全新生命藍圖,"比爾‧柏內特,戴夫‧埃文斯",252
晶片戰爭：矽時代的新賽局，解析地緣政治下全球最關鍵科技的創新、商業模式與台灣的未來,克里斯．米勒,568
從A到A+：企業從優秀到卓越的奧祕（暢銷新裝版）,詹姆．柯林斯,379
生成式AI一本搞定：最強AI工具整合運用手冊，讓你憑空多出十雙手，從研發到行銷一人搞定,謝孟諺（Mr.GoGo）,299
QBQ！問題背後的問題（30萬冊紀念版）,約翰‧米勒,205
川普2.0時代：全球貿易戰、霸權競爭、地緣衝突，如何在經濟動盪的亂局中找到機會？,朴鐘勳,300
向川普學談判：談判不是你輸我贏，而是要共贏！,喬治．羅斯,355
人上之人：勝負定在比賽前，強者都在研究的競爭新科學,"波．布朗森,艾許麗．梅里曼",355
退休後，錢從哪裡來？：掌握兩大養老現金流，搭配「4%比例」花費原則，打敗未來高齡化又高通膨的財務計畫,嫺人,316
超級思維【暢銷經典版．隨書送「300款心智模式大全隨行本】：跨界、跨域、跨能，突破思考盲點，提升解決能力的心智模式大全,"蓋布瑞．溫伯格,蘿倫．麥肯",410
刻意練習：原創者全面解析，比天賦更關鍵的學習法,"安德斯‧艾瑞克森,羅伯特‧普爾",252
塔木德：猶太人的致富寶典,趙凡禹,300
隱性潛能：華頓商學院最具影響力教授，突破天賦極限的實證科學【附潛能提升秘訣卡】,亞當．格蘭特,379
稻盛和夫  心（暢銷紀念版）：人生皆為自心映照,稻盛和夫,379
重啟人生：一個哈佛教授的生命領悟，給你把餘生過好的簡單建議,亞瑟．布魯克斯,379
投資冥想法，快速顯化你的財富【限量親簽+2025金蛇豐盛財富貼+1書+1行動練習本套組】：冠軍分析師金牌獵人結合獲利技術與身心覺察，教你掌握致富的實戰策略,金牌獵人（朱均澤）,495
定位就是聊個天：讀透定位&溝通的底層邏輯，為你開啟財富之門,顧均輝,355
王者觀點之致富思維＆實戰方法②與市場對話 - 成功之道：6大投資家的頂級思維,"王者工作室,王者,曾苑芳",276
年度計畫一學就會：亞洲經營管理大師40年實證精華,陳宗賢,441
精準獲利：企業永續經營、利潤極大化的商業模式秘訣,陳宗賢,355
變化中的世界秩序：橋水基金應對國家興衰的原則,瑞‧達利歐,513
無限賽局：翻轉思維框架，突破勝負盲點，贏得你想要的未來,賽門．西奈克,355
大會計師教你看懂財報暢銷套書（《大會計師教你從財報數字看懂經營本質》《大會計師教你從財報數字看懂產業本質》《大會計師教你從財報看懂投資本質》三書）,張明輝,805
數位競爭策略：企業如何從數據中打造競爭優勢、做好數位轉型？,莫漢．薩布拉曼尼亞,355
破框思維的技術：哥倫比亞商學院創新思考必修課  6 個構思步驟 X 3項思考工具，解決任何情境下你想要處理、卻不知從何下手的痛點,希娜．艾恩嘉,355
